"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"SKJEATL","Skipjack tuna Eastern Atlantic","ICCAT-SKJEATL-1950-2010-CHING","Katsuwonus pelamis","Skipjack tuna","multinational-ICCAT-EATL","Atlantic Ocean"
"SKJWATL","Skipjack tuna Western Atlantic","ICCAT-SKJWATL-1950-2014-PONS","Katsuwonus pelamis","Skipjack tuna","multinational-ICCAT-WATL","Atlantic Ocean"
"SNROCKPCOAST","Splitnose rockfish Pacific Coast","NWFSC-SNROCKPCOAST-1905-2009-STANTON","Sebastes diploproa","Splitnose rockfish","USA-NMFS-PCOAST","US West Coast"
"SOLECS","Common sole Celtic Sea","WGSSDS-SOLECS-1970-2011-NEUBAUER","Solea solea","Common sole","multinational-ICES-VIIf-g","European Union"
"SOLEIS","Common sole Irish Sea","WGNSDS-SOLEIS-1968-2011-NEUBAUER","Solea solea","Common sole","multinational-ICES-VIIa","European Union"
"SOLENS","Common sole North Sea","WGNSSK-SOLENS-1956-2010-NEUBAUER","Solea solea","Common sole","multinational-ICES-IV","European Union"
"SOLEVIIe","Common sole Western English Channel","WGSSDS-SOLEVIIe-1968-2010-NEUBAUER","Solea solea","Common sole","multinational-ICES-VIIe","European Union"
"SOUTHHAKECH","Southern hake Central-Southern Chile","IFOP-SOUTHHAKECH-1977-2011-CHING","Merluccius australis","Southern hake","Chile-SUBPESCA-CH-CS","South America"
"SPHAKECH","South Pacific hake Central-Southern Chile","IFOP-SPHAKECH-1968-2012-CHING","Merluccius gayi","South Pacific hake","Chile-SUBPESCA-CH-CS","South America"
"SPSDOGPCOAST","Spotted spiny dogfish Pacific Coast","NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","Squalus suckleyi","Spotted spiny dogfish","USA-NMFS-PCOAST","US West Coast"
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Sebastolobus alascanus","Shortspine thornyhead","USA-NMFS-PCOAST","US West Coast"
"STMARLINIO","Striped marlin Indian Ocean","IOTC-STMARLINIO-1950-2014-PONS","Kajikia audax","Striped marlin","multinational-IOTC-IO","Indian Ocean"
"STMARLINSWPO","Striped marlin Western Pacific Ocean","SPC-STMARLINSWPO-1952-2011-CHING","Kajikia audax","Striped marlin","multinational-WCPFC-SWPAC","Pacific Ocean"
"SWHITSE","School whiting Southeast Australia","CSIRO-SWHITSE-1945-2007-FULTON","Sillago flindersi","School whiting","Australia-AFMA-SE","Australia"
"SWORDEPAC","Swordfish Eastern Pacific","IATTC-SWORDEPAC-1951-2012-PONS","Xiphias gladius","Swordfish","multinational-IATTC-EPAC","Pacific Ocean"
"SWORDNATL","Swordfish Northern Atlantic","ICCAT-SWORDNATL-1950-2015-PONS","Xiphias gladius","Swordfish","multinational-ICCAT-NATL","Atlantic Ocean"
"SWORDNPAC","Swordfish North Pacific Ocean","ISC-SWORDNPAC-1951-2012-PONS","Xiphias gladius","Swordfish","multinational-ISC-NPAC","Pacific Ocean"
"SWORDSATL","Swordfish South Atlantic","ICCAT-SWORDSATL-1950-2015-PONS","Xiphias gladius","Swordfish","multinational-ICCAT-SATL","Atlantic Ocean"
"TANNERCRABBSAI","Tanner crab Bering Sea and Aleutian Islands","AFSC-TANNERCRABBSAI-1949-2013-HIVELY","Chionoecetes bairdi","Tanner crab","USA-NMFS-BSAI","US Alaska"
"TIGERFLATSE","Tiger flathead Southeast Australia","CSIRO-TIGERFLATSE-1913-2006-FULTON","Neoplatycephalus richardsoni","Tiger flathead","Australia-AFMA-SE","Australia"
"TREVALLYTRE7","Trevally New Zealand Areas TRE 7","NZMFishINSHOREWG-TREVALLYTRE7-1944-2014-LANGLEY","Pseudocaranx dentex","Trevally","New Zealand-MFish-TRE7","New Zealand"
"VSNAPGM","Vermilion snapper Gulf of Mexico","SEFSC-VSNAPGM-1981-2004-JENSEN","Rhomboplites aurorubens","Vermilion snapper","USA-NMFS-GM","US Southeast and Gulf"
"VSNAPSATLC","Vermilion snapper Southern Atlantic coast","SEFSC-VSNAPSATLC-1945-2012-HIVELY","Rhomboplites aurorubens","Vermilion snapper","USA-NMFS-SATLC","US Southeast and Gulf"
"WHAKEGBGOM","White hake Gulf of Maine / Georges Bank","NEFSC-WHAKEGBGOM-1962-2011-HIVELY","Urophycis tenuis","White hake","USA-NMFS-5YZ","US East Coast"
"WMARLINATL","White marlin Atlantic Ocean","ICCAT-WMARLINATL-1956-2011-CHING","Tetrapturus albidus","White marlin","multinational-ICCAT-ATL","Atlantic Ocean"
"WPOLLEBS","Walleye pollock Eastern Bering Sea","AFSC-WPOLLEBS-1963-2015-HIVELY","Theragra chalcogramma","Walleye pollock","USA-NMFS-EBS","US Alaska"
